State,District,Year,Black pepper,,,Coconut,,,Sugarcane,,,Tobacco,,,Dry chillies,,,Onion,,,Arecanut,,,Banana,,,Coriander,,,Potato,,,Sweet potato,,,Turmeric,,,Bhindi,,,Brinjal,,,Citrus Fruit,,,Cucumber,,,Grapes,,,Mango,,,Orange,,,Other Fresh Fruits,,,Other Vegetables,,,Papaya,,,Pome Fruit,,,Tomato,,,Sunflower,,,Cashewnut,,,Tapioca,,,Cabbage,,,Peas (vegetable),,,Bottle Gourd,,,Ginger,,,Sannhamp,,,Garlic,,
,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
,11. Kakinada,2022 - 2023,,,,2882,52801000,18320.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12. Konaseema,2022 - 2023,,,,39169,674764000,17226.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13. Krishna,1998 - 1999,,,,,,,17300,1852600,107.09,8000,15400,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999 - 2000,,,,,,,15572,1825668,117.24,3693,3711,1,12985,38332,2.95,105,1735,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000 - 2001,,,,1520,16273950,10706.55,12658,1382481,109.22,2669,7177,2.69,,,,,,,4,11,2.75,1363,26208,19.23,,,,,,,35,474,13.54,2713,12184,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,180,0.22,4,31,7.75,,,,,,,,,,15,28,1.87,,,,,,
,,2001 - 2002,,,,1789,19782864,11058.06,10690,1112198,104.04,3784,6551,1.73,,,,,,,4,7,1.75,1556,3946,2.54,25,19,0.76,,,,12,160,13.33,2081,7976,3.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,220,0.27,7,58,8.29,,,,,,,,,,14,37,2.64,,,,,,
,,2002 - 2003,,,,1889,21255984,11252.51,15203,1535260,100.98,3832,9414,2.46,,,,,,,18,26,1.44,1346,20586,15.29,14,8,0.57,,,,12,130,10.83,1711,8141,4.76,656,5093,7.76,906,11965,13.21,612,2718,4.44,681,0,0,,,,62800,234926,3.74,47,841,17.89,396,1217,3.07,2364,0,0,23,3000,130.43,986,8591,8.71,1322,9348,7.07,,,,478,59,0.12,2,12,6,341,0,0,3,0,0,135,0,0,12,20,1.67,,,,,,
,,2003 - 2004,,,,1726,20407920,11823.82,17524,1322046,75.44,4136,7924,1.92,,,,,,,18,13,0.72,1249,15574,12.47,11,8,0.73,,,,22,159,7.23,1410,12243,8.68,610,5673,9.3,905,17203,19.01,646,3418,5.29,687,0,0,,,,62652,147294,2.35,49,743,15.16,351,1453,4.14,2502,0,0,18,1635,90.83,981,11741,11.97,1650,16110,9.76,,,,355,95,0.27,,,,288,0,0,,,,106,0,0,13,37,2.85,,,,,,
,,2004 - 2005,,,,1693,19892568,11749.89,18699,1884261,100.77,5097,9589,1.88,,,,,,,,,,1543,19223,12.46,14,9,0.64,,,,16,146,9.13,1806,25065,13.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337,72,0.21,,,,,,,,,,,,,8,22,2.75,,,,,,
,,2005 - 2006,,,,1627,14192976,8723.4,21680,1810150,83.49,4747,10060,2.12,,,,,,,,,,1601,27059,16.9,3,2,0.67,,,,,,,2504,19471,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,173,1.14,307,82,0.27,,,,,,,,,,,,,34,94,2.76,,,,,,
,,2006 - 2007,,,,1648,21220329,12876.41,21424,1958089,91.4,5196,11685,2.25,,,,,,,,,,1509,29004,19.22,40,22,0.55,,,,,,,2011,16617,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,111,0.82,307,81,0.26,,,,,,,,,,,,,21,59,2.81,,,,,,
,,2007 - 2008,,,,,,,16000,1655000,103.44,5000,12000,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008 - 2009,,,,2129,19439434,9130.78,11255,1073337,95.37,7145,19515,2.73,,,,,,,,,,1475,40328,27.34,,,,,,,,,,1884,20183,10.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,43,1.02,282,82,0.29,,,,,,,,,,,,,21,50,2.38,,,,,,
,,2009 - 2010,,,,2090,23599014,11291.39,9494,829393,87.36,7027,19474,2.77,,,,,,,,,,1632,35124,21.52,,,,,,,3,39,13,2024,23414,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,261,0.97,259,77,0.3,,,,,,,,,,,,,57,111,1.95,,,,,,
,,2010 - 2011,,,,1897,22495000,11858.2,16144,1527716,94.63,5160,12771,2.48,,,,,,,9,4,0.44,1465,33847,23.1,,,,,,,1,13,13,2014,17252,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,94,1.24,170,41,0.24,,,,,,,,,,,,,43,401,9.33,,,,,,
,,2011 - 2012,,,,1965,27512912,14001.48,16024,1621860,101.21,3425,13256,3.87,,,,,,,,,,1180,35937,30.46,,,,,,,10,128,12.8,2670,28540,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,40,1.05,180,46,0.26,,,,,,,,,,,,,55,508,9.24,,,,,,
,,2012 - 2013,,,,2008,34309000,17086.16,16000,1374000,85.88,3000,13000,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2013 - 2014,,,,2053,34029000,16575.26,16123,1447765,89.8,,,,,,,,,,,,,1266,45738,36.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2014 - 2015,,,,1829,30000000,16402.41,16719,1400898,83.79,,,,,,,,,,,,,1554,61764,39.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015 - 2016,,,,1872,27465000,14671.47,14555,1491656,102.48,,,,,,,,,,,,,1372,89260,65.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2016 - 2017,,,,997,13800000,13841.52,10983,993610,90.47,,,,,,,,,,,,,1512,57364,37.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2017 - 2018,,,,1925,31700000,16467.53,10258,945664,92.19,,,,,,,,,,,,,1355,289920,213.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2018 - 2019,,,,1899,37200000,19589.26,,,,,,,,,,,,,,,,1305,336780,258.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019 - 2020,,,,1820,33490000,18401.1,,,,,,,,,,,,,,,,4771,286260,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020 - 2021,,,,1444,25271000,17500.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021 - 2022,,,,1544,34510000,22351.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2022 - 2023,,,,846,15500000,18321.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14. Kurnool,1998 - 1999,,,,,,,200,15100,75.5,22100,18700,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1999 - 2000,,,,,,,176,15620,88.75,61,61,1,13207,18601,1.41,10678,156507,14.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000 - 2001,,,,99,425810,4301.11,47,3379,71.89,13264,16890,1.27,,,,,,,,,,2327,32282,13.87,19621,6632,0.34,,,,5,68,13.6,1324,9221,6.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2001 - 2002,,,,110,374400,3403.64,48,4175,86.98,13217,13309,1.01,,,,,,,,,,2704,29845,11.04,25112,10271,0.41,,,,16,212,13.25,878,4338,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2002 - 2003,,,,100,425733,4257.33,80,5906,73.83,7240,6830,0.94,,,,,,,,,,1862,49164,26.4,17839,5584,0.31,1,5,5,17,184,10.82,878,2848,3.24,6908,51451,7.45,997,29822,29.91,98,497,5.07,141,0,0,,,,3021,14250,4.72,769,6280,8.17,549,948,1.73,1481,0,0,186,24263,130.45,139,7213,51.89,21469,142009,6.61,,,,,,,,,,2,0,0,,,,2,0,0,,,,,,,,,
,,2003 - 2004,,,,86,342720,3985.12,435,31537,72.5,13777,17318,1.26,,,,,,,,,,2960,23820,8.05,15401,4913,0.32,,,,15,108,7.2,691,4806,6.96,5506,47726,8.67,1495,27359,18.3,114,1918,16.82,399,0,0,4,69,17.25,4174,61878,14.82,910,15208,16.71,581,1280,2.2,2392,0,0,187,16981,90.81,148,8420,56.89,19358,293269,15.15,,,,,,,,,,11,0,0,,,,36,0,0,,,,,,,,,
,,2004 - 2005,,,,64,486530,7602.03,393,34395,87.52,12981,14110,1.09,,,,,,,,,,1302,37774,29.01,9147,2451,0.27,142,1406,9.9,26,53,2.04,1568,14151,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005 - 2006,,,,60,227136,3785.6,1817,175635,96.66,13857,14927,1.08,,,,,,,,,,1234,28942,23.45,6514,2736,0.42,,,,8,42,5.25,978,7409,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180697,106120,0.59,,,,,,,,,,,,,,,,,,,,,,,,
,,2006 - 2007,,,,52,421974,8114.88,2246,210675,93.8,8155,9251,1.13,,,,,,,,,,2128,45722,21.49,6517,2020,0.31,,,,6,33,5.5,1183,9277,7.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174126,112494,0.65,,,,,,,,,,,,,,,,1,3,3,,,,,,
,,2007 - 2008,,,,,,,2000,143000,71.5,7000,10000,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2008 - 2009,,,,71,646668,9108,1055,94785,89.84,11614,18513,1.59,,,,,,,,,,2227,59036,26.51,6452,4445,0.69,15,135,9,7,40,5.71,941,9495,10.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144534,113086,0.78,,,,,,,,,,,,,,,,,,,,,,,,
