district,mandal,revenue_division
"Annamayya district","Chinnamandem mandal","Rayachoti revenue division"
"Annamayya district","Chitvel mandal","Rajampeta revenue division"
"Annamayya district","Duvvur mandal","Badvel revenue division"
"Annamayya district","Galiveedu mandal","Rayachoti revenue division"
"Annamayya district","Gopavaram mandal","Badvel revenue division"
"Annamayya district","Kalikiri mandal","Madanapalle revenue division"
"Annamayya district","Kamalapuram mandal","Kadapa revenue division"
"Annamayya district","Kodur mandal","Rajampeta revenue division"
"Annamayya district","Lakkireddipalle mandal","Rayachoti revenue division"
"Annamayya district","Muddanur mandal","Jammalamadugu revenue division"
"Annamayya district","Nandalur mandal","Rajampeta revenue division"
"Annamayya district","Obulavaripalle mandal","Rajampeta revenue division"
"Annamayya district","Porumamilla mandal","Badvel revenue division"
"Annamayya district","Pullampeta mandal","Rajampeta revenue division"
"Annamayya district","Rajampet mandal","Rajampeta revenue division"
"Annamayya district","Sidhout mandal","Kadapa revenue division"
"Annamayya district","T Sundupalle mandal","Rajampeta revenue division"
"Annamayya district","Vallur mandal","Kadapa revenue division"
"Annamayya district","Veeraballe mandal","Rajampeta revenue division"
"Annamayya district","Vontimitta mandal","Kadapa revenue division"
"Bapatla district","Bapatla mandal","Bapatla revenue division"
"Bapatla district","Cherukupalle mandal","Repalle revenue division"
"Bapatla district","Duggirala mandal","Tenali revenue division"
"Bapatla district","Karlapalem mandal","Bapatla revenue division"
"Bapatla district","Kollipara mandal","Tenali revenue division"
"Bapatla district","Kolluru mandal","Repalle revenue division"
"Bapatla district","Nizampatnam mandal","Repalle revenue division"
"Bapatla district","Parchur mandal","Bapatla revenue division"
"Bapatla district","Repalle mandal","Repalle revenue division"
"Bapatla district","Sangam mandal","Bapatla revenue division"
"Bapatla district","Tenali mandal","Tenali revenue division"
"Bapatla district","Tsundur mandal","Repalle revenue division"
"Bapatla district","Vemuru mandal","Repalle revenue division"
"Chittoor district","B.Kothakota mandal","Madanapalle revenue division"
"Chittoor district","Chandragiri mandal","Tirupati revenue division"
"Chittoor district","Chittoor mandal","Chittoor revenue division"
"Chittoor district","Gangadhara Nellore mandal","Chittoor revenue division"
"Chittoor district","Gudipala mandal","Chittoor revenue division"
"Chittoor district","Gurramkonda mandal","Rayachoti revenue division"
"Chittoor district","Irala mandal","Chittoor revenue division"
"Chittoor district","K.V.B.Puram mandal","Srikalahasti revenue division"
"Chittoor district","Kalakada mandal","Rayachoti revenue division"
"Chittoor district","Kuppam mandal","Kuppam revenue division"
"Chittoor district","Madanapalle mandal","Madanapalle revenue division"
"Chittoor district","Mulakalacheruvu mandal","Madanapalle revenue division"
"Chittoor district","Narayanavanam mandal","Srikalahasti revenue division"
"Chittoor district","Nimmanapalle mandal","Madanapalle revenue division"
"Chittoor district","Palamaner mandal","Palamaner revenue division"
"Chittoor district","Peddapanjani mandal","Palamaner revenue division"
"Chittoor district","Penumuru mandal","Chittoor revenue division"
"Chittoor district","Pichatur mandal","Srikalahasti revenue division"
"Chittoor district","Pulicherla mandal","Chittoor revenue division"
"Chittoor district","Punganur mandal","Palamaner revenue division"
"Chittoor district","Puthalapattu mandal","Chittoor revenue division"
"Chittoor district","Ramasamudram mandal","Madanapalle revenue division"
"Chittoor district","Satyavedu mandal","Sullurpeta revenue division"
"Chittoor district","Srirangarajapuram mandal","Chittoor revenue division"
"Chittoor district","Thamballapalle mandal","Madanapalle revenue division"
"Chittoor district","Thavanampalle mandal","Chittoor revenue division"
"Chittoor district","Tirupati mandal","Tirupati revenue division"
"Chittoor district","Varadaiahpalem mandal","Sullurpeta revenue division"
"Chittoor district","Vedurukuppam mandal","Chittoor revenue division"
"Chittoor district","Venkatagirikota mandal","Palamaner revenue division"
"Chittoor district","Yerpedu mandal","Srikalahasti revenue division"
"Dr. B.R. Ambedkar Konaseema district","Allavaram mandal","Amalapuram revenue division"
"Dr. B.R. Ambedkar Konaseema district","Amalapuram mandal","Amalapuram revenue division"
"Dr. B.R. Ambedkar Konaseema district","Atreyapuram mandal","Amalapuram revenue division"
"Dr. B.R. Ambedkar Konaseema district","I.Polavaram mandal","Razole revenue division"
"Dr. B.R. Ambedkar Konaseema district","Kajuluru mandal","Amalapuram revenue division"
"Dr. B.R. Ambedkar Konaseema district","Katrenikona mandal","Razole revenue division"
"Dr. B.R. Ambedkar Konaseema district","Kothapalle mandal","Razole revenue division"
