district,mandal,revenue_division
"Prakasam district","Chimakurthi mandal","Ongole revenue division"
"Prakasam district","Chirala mandal","Chirala revenue division"
"Prakasam district","C.S.Puram mandal","Chirala revenue division"
"Prakasam district","Darsi mandal","Ongole revenue division"
"Prakasam district","Donakonda mandal","Markapur revenue division"
"Prakasam district","Dornala mandal","Markapur revenue division"
"Prakasam district","Giddalur mandal","Markapur revenue division"
"Prakasam district","Gudluru mandal","Ongole revenue division"
"Prakasam district","Hanumanthunipadu mandal","Ongole revenue division"
"Prakasam district","Inkollu mandal","Ongole revenue division"
"Prakasam district","Jangareddigudem mandal","Markapur revenue division"
"Prakasam district","Kandukur mandal","Ongole revenue division"
"Prakasam district","Kanigiri mandal","Markapur revenue division"
"Prakasam district","Karumanchi mandal","Markapur revenue division"
"Prakasam district","Kompalle mandal","Ongole revenue division"
"Prakasam district","Konakanamitla mandal","Markapur revenue division"
"Prakasam district","Korisapadu mandal","Ongole revenue division"
"Prakasam district","Kurichedu mandal","Markapur revenue division"
"Prakasam district","Lingasamudram mandal","Ongole revenue division"
"Prakasam district","Maddipadu mandal","Ongole revenue division"
"Prakasam district","Markapur mandal","Markapur revenue division"
"Prakasam district","Martur mandal","Ongole revenue division"
"Prakasam district","Mundlamuru mandal","Ongole revenue division"
"Prakasam district","Naguluppala Padu mandal","Markapur revenue division"
"Prakasam district","Ongole mandal","Ongole revenue division"
"Prakasam district","Pamur mandal","Markapur revenue division"
"Prakasam district","Parchur mandal","Chirala revenue division"
"Prakasam district","Pedacherlo Palle mandal","Markapur revenue division"
"Prakasam district","Peddaraveedu mandal","Markapur revenue division"
"Prakasam district","Ponnaluru mandal","Ongole revenue division"
"Prakasam district","Pullalacheruvu mandal","Ongole revenue division"
"Prakasam district","Racherla mandal","Ongole revenue division"
"Prakasam district","Santhamaguluru mandal","Ongole revenue division"
"Prakasam district","Santhanuthalapadu mandal","Ongole revenue division"
"Prakasam district","Singarayakonda mandal","Chirala revenue division"
"Prakasam district","Tallur mandal","Ongole revenue division"
"Prakasam district","Tangutur mandal","Ongole revenue division"
"Prakasam district","Tarlupadu mandal","Ongole revenue division"
"Prakasam district","Tripuranthakam mandal","Markapur revenue division"
"Prakasam district","Ulavapadu mandal","Ongole revenue division"
"Prakasam district","Veligandla mandal","Ongole revenue division"
"Prakasam district","Vetapalem mandal","Chirala revenue division"
"Prakasam district","Voletivaripalem mandal","Chirala revenue division"
"Prakasam district","Yerragondapalem mandal","Markapur revenue division"
"Prakasam district","Zarugumilli mandal","Ongole revenue division"
"Sri Potti Sriramulu Nellore district","Allur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Ananthasagaram mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Anumasamudrampeta mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Atmakur mandal","Atmakur revenue division"
"Sri Potti Sriramulu Nellore district","Balayapalle mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Bogole mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Butchireddipalem mandal","Sullurpeta revenue division"
"Sri Potti Sriramulu Nellore district","Chejerla mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Chittamur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Dakkili mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Doravarisatram mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Duttalur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Gudur mandal","Gudur revenue division"
"Sri Potti Sriramulu Nellore district","Indukurpet mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Kaluvoya mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Kandamur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Kavali mandal","Kavali revenue division"
"Sri Potti Sriramulu Nellore district","Kodavalur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Kondapuram mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Kota mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Manubolu mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Marripadu mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Muthukur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Naidupeta mandal","Sullurpeta revenue division"
"Sri Potti Sriramulu Nellore district","Nellore mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Ozili mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Pellakur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Podalakur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Rapur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Sangam mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Seetharamapuram mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Sullurpeta mandal","Sullurpeta revenue division"
"Sri Potti Sriramulu Nellore district","Sydapuram mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Tada mandal","Sullurpeta revenue division"
"Sri Potti Sriramulu Nellore district","Thotapalligudur mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Udayagiri mandal","Udayagiri revenue division"
"Sri Potti Sriramulu Nellore district","Varikuntapadu mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Venkatachalam mandal","Nellore revenue division"
"Sri Potti Sriramulu Nellore district","Vinjamur mandal","Nellore revenue division"
"Sri Sathya Sai district","Amadur mandal","Puttaparthi revenue division"
"Sri Sathya Sai district","Bukkapatnam mandal","Puttaparthi revenue division"
"Sri Sathya Sai district","Chilamathur mandal","Kadiri revenue division"
"Sri Sathya Sai district","Gorantla mandal","Puttaparthi revenue division"
"Sri Sathya Sai district","Gudupalle mandal","Puttaparthi revenue division"
"Sri Sathya Sai district","Hindupur mandal","Penukonda revenue division"
"Sri Sathya Sai district","Lepakshi mandal","Kadiri revenue division"
"Sri Sathya Sai district","Madakasira mandal","Penukonda revenue division"
"Sri Sathya Sai district","Mudigubba mandal","Dharmavaram revenue division"
"Sri Sathya Sai district","Nallamada mandal","Puttaparthi revenue division"
"Sri Sathya Sai district","Nambulapulakunta mandal","Kadiri revenue division"
"Sri Sathya Sai district","Obuladevaracheruvu mandal","Puttaparthi revenue division"
"Sri Sathya Sai district","Parigi mandal","Penukonda revenue division"
"Sri Sathya Sai district","Pedda Vadagur mandal","Guntakal revenue division"
"Sri Sathya Sai district","Peddapappur mandal","Anantapur revenue division"
"Sri Sathya Sai district","Penu Konda mandal","Puttaparthi revenue division"
"Sri Sathya Sai district","Putlur mandal","Anantapur revenue division"
"Sri Sathya Sai district","Raptadu mandal","Anantapur revenue division"
"Sri Sathya Sai district","Roddam mandal","Penukonda revenue division"
"Sri Sathya Sai district","Rollapenta mandal","Penukonda revenue division"
"Sri Sathya Sai district","Settur mandal","Kalyanadurg revenue division"
"Sri Sathya Sai district","Somandepalle mandal","Penukonda revenue division"
"Sri Sathya Sai district","Tadimarri mandal","Dharmavaram revenue division"
"Sri Sathya Sai district","Talupula mandal","Penukonda revenue division"
"Sri Sathya Sai district","Tanakal mandal","Kadiri revenue division"
"Sri Sathya Sai district","Uravakonda mandal","Guntakal revenue division"
"Sri Sathya Sai district","Vajrakarur mandal","Guntakal revenue division"
"Sri Sathya Sai district","Vidapanakal mandal","Guntakal revenue division"
"Sri Sathya Sai district","Yellanur mandal","Anantapur revenue division"
"Sri Sathya Sai district","Yerraguntla mandal","Kadapa revenue division"
"Tirupati district","B.Kothakota mandal","Madanapalle revenue division"
"Tirupati district","Chandragiri mandal","Tirupati revenue division"
"Tirupati district","Chittoor mandal","Chittoor revenue division"
"Tirupati district","Gangadhara Nellore mandal","Chittoor revenue division"
"Tirupati district","Gudipala mandal","Chittoor revenue division"
"Tirupati district","Gurramkonda mandal","Rayachoti revenue division"
"Tirupati district","Irala mandal","Chittoor revenue division"
"Tirupati district","K.V.B.Puram mandal","Srikalahasti revenue division"
"Tirupati district","Kalakada mandal","Rayachoti revenue division"
"Tirupati district","Kuppam mandal","Kuppam revenue division"
"Tirupati district","Madanapalle mandal","Madanapalle revenue division"
"Tirupati district","Mulakalacheruvu mandal","Madanapalle revenue division"
"Tirupati district","Narayanavanam mandal","Srikalahasti revenue division"
"Tirupati district","Nimmanapalle mandal","Madanapalle revenue division"
"Tirupati district","Palamaner mandal","Palamaner revenue division"
"Tirupati district","Peddapanjani mandal","Palamaner revenue division"
"Tirupati district","Penumuru mandal","Chittoor revenue division"
"Tirupati district","Pichatur mandal","Srikalahasti revenue division"
"Tirupati district","Pulicherla mandal","Chittoor revenue division"
"Tirupati district","Punganur mandal","Palamaner revenue division"
"Tirupati district","Puthalapattu mandal","Chittoor revenue division"
"Tirupati district","Ramasamudram mandal","Madanapalle revenue division"
"Tirupati district","Satyavedu mandal","Sullurpeta revenue division"
"Tirupati district","Srirangarajapuram mandal","Chittoor revenue division"
"Tirupati district","Thamballapalle mandal","Madanapalle revenue division"
"Tirupati district","Thavanampalle mandal","Chittoor revenue division"
"Tirupati district","Tirupati mandal","Tirupati revenue division"
"Tirupati district","Varadaiahpalem mandal","Sullurpeta revenue division"
"Tirupati district","Vedurukuppam mandal","Chittoor revenue division"
"Tirupati district","Venkatagirikota mandal","Palamaner revenue division"
"Tirupati district","Yerpedu mandal","Srikalahasti revenue division"
"Visakhapatnam district","Anakapalle mandal","Anakapalli revenue division"
"Visakhapatnam district","Araku Valley mandal","Paderu revenue division"
"Visakhapatnam district","Bheemunipatnam mandal","Bheemunipatnam revenue division"
"Visakhapatnam district","Chintapalle mandal","Chinturu revenue division"
"Visakhapatnam district","Chodavaram mandal","Anakapalli revenue division"
"Visakhapatnam district","Devarapalle mandal","Anakapalli revenue division"
"Visakhapatnam district","Dumbriguda mandal","Paderu revenue division"
"Visakhapatnam district","Etapaka mandal","Chinturu revenue division"
"Visakhapatnam district","G. Madugula mandal","Paderu revenue division"
"Visakhapatnam district","Gajapathinagaram mandal","Parvathipuram revenue division"
"Visakhapatnam district","Gudem Kotha Veedhi mandal","Paderu revenue division"
"Visakhapatnam district","Hukumpeta mandal","Paderu revenue division"
"Visakhapatnam district","Kasimkota mandal","Anakapalli revenue division"
"Visakhapatnam district","Kotauratla mandal","Narasipatnam revenue division"
"Visakhapatnam district","Koyyuru mandal","Paderu revenue division"
"Visakhapatnam district","Kunavaram mandal","Chinturu revenue division"
"Visakhapatnam district","Makavarapalem mandal","Narasipatnam revenue division"
"Visakhapatnam district","Munchingi Puttu mandal","Chinturu revenue division"
"Visakhapatnam district","Munagapaka mandal","Anakapalli revenue division"
"Visakhapatnam district","Nakkapalle mandal","Narasipatnam revenue division"
"Visakhapatnam district","Paderu mandal","Paderu revenue division"
"Visakhapatnam district","Paravada mandal","Anakapalli revenue division"
"Visakhapatnam district","Peda Bayalu mandal","Paderu revenue division"
"Visakhapatnam district","Rambilli mandal","Anakapalli revenue division"
"Visakhapatnam district","Ravikamatham mandal","Narasipatnam revenue division"
"Visakhapatnam district","Sabbavaram mandal","Anakapalli revenue division"
"Visakhapatnam district","Sankhavaram mandal","Anakapalli revenue division"
"Visakhapatnam district","Vararamachandrapuram mandal","Chinturu revenue division"
"Visakhapatnam district","Visakhapatnam mandal","Visakhapatnam revenue division"
"Visakhapatnam district","Yelamanchili mandal","Anakapalli revenue division"
"Vizianagaram district","Badangi mandal","Vizianagaram revenue division"
"Vizianagaram district","Bhogapuram mandal","Vizianagaram revenue division"
"Vizianagaram district","Bondapalle mandal","Parvathipuram revenue division"
"Vizianagaram district","Cheepurupalle mandal","Vizianagaram revenue division"
"Vizianagaram district","Denkada mandal","Vizianagaram revenue division"
"Vizianagaram district","Gajapathinagaram mandal","Parvathipuram revenue division"
"Vizianagaram district","Gantyada mandal","Vizianagaram revenue division"
"Vizianagaram district","Garividi mandal","Vizianagaram revenue division"
"Vizianagaram district","Gurla mandal","Parvathipuram revenue division"
"Vizianagaram district","Jami mandal","Vizianagaram revenue division"
"Vizianagaram district","Jiyyammavalasa mandal","Parvathipuram revenue division"
"Vizianagaram district","Kothavalasa mandal","Vizianagaram revenue division"
"Vizianagaram district","Kurupam mandal","Parvathipuram revenue division"
"Vizianagaram district","Lakkavarapukota mandal","Parvathipuram revenue division"
"Vizianagaram district","Merakamudidam mandal","Vizianagaram revenue division"
"Vizianagaram district","Nellimarla mandal","Vizianagaram revenue division"
"Vizianagaram district","Pachipenta mandal","Parvathipuram revenue division"
"Vizianagaram district","Parvathipuram mandal","Parvathipuram revenue division"
"Vizianagaram district","Pusapatirega mandal","Vizianagaram revenue division"
"Vizianagaram district","Ramabhadrapuram mandal","Vizianagaram revenue division"
"Vizianagaram district","Santhakaviti mandal","Vizianagaram revenue division"
"Vizianagaram district","Seethanagaram mandal","Parvathipuram revenue division"
"Vizianagaram district","Srungavarapukota mandal","Vizianagaram revenue division"
"Vizianagaram district","Therlam mandal","Vizianagaram revenue division"
"Vizianagaram district","Vepada mandal","Parvathipuram revenue division"
"Vizianagaram district","Vizianagaram mandal","Vizianagaram revenue division"
"West Godavari district","Achanta mandal","Narsapuram revenue division"
"West Godavari district","Akividu mandal","Narsapuram revenue division"
"West Godavari district","Attili mandal","Eluru revenue division"
"West Godavari district","Bhimavaram mandal","Narsapuram revenue division"
"West Godavari district","Buttayagudem mandal","Polavaram revenue division"
"West Godavari district","Chintalapudi mandal","Polavaram revenue division"
"West Godavari district","Devarapalle mandal","Eluru revenue division"
"West Godavari district","Dwaraka Tirumala mandal","Polavaram revenue division"
"West Godavari district","Eluru mandal","Eluru revenue division"
"West Godavari district","Gopalapuram mandal","Polavaram revenue division"
"West Godavari district","Iragavaram mandal","Eluru revenue division"
"West Godavari district","Jangareddigudem mandal","Polavaram revenue division"
"West Godavari district","Kamavarapukota mandal","Polavaram revenue division"
"West Godavari district","Koyyalagudem mandal","Polavaram revenue division"
"West Godavari district","Kovvur mandal","Eluru revenue division"
"West Godavari district","Lingapalem mandal","Polavaram revenue division"
"West Godavari district","Mogalthur mandal","Narsapuram revenue division"
"West Godavari district","Nallajerla mandal","Eluru revenue division"
"West Godavari district","Narsapuram mandal","Narsapuram revenue division"
"West Godavari district","Nidadavole mandal","Eluru revenue division"
"West Godavari district","Palacoderu mandal","Polavaram revenue division"
"West Godavari district","Pentapadu mandal","Eluru revenue division"
"West Godavari district","Peravali mandal","Eluru revenue division"
"West Godavari district","Polavaram mandal","Polavaram revenue division"
"West Godavari district","T.Narasapuram mandal","Narsapuram revenue division"
"West Godavari district","Tadepalligudem mandal","Eluru revenue division"
"West Godavari district","Tanuku mandal","Narsapuram revenue division"
"West Godavari district","Undi mandal","Narsapuram revenue division"
"West Godavari district","Undrajavaram mandal","Eluru revenue division"
"West Godavari district","Veeravasaram mandal","Narsapuram revenue division"
"West Godavari district","Vijayarai mandal","Eluru revenue division"
"West Godavari district","Viravalli mandal","Eluru revenue division"
"YSR district","C.K. Dinne mandal","Kadapa revenue division"
"YSR district","Chennur mandal","Kadapa revenue division"
"YSR district","Kamalapuram mandal","Kadapa revenue division"
"YSR district","Pendlimarri mandal","Kadapa revenue division"
"YSR district","Vallur mandal","Kadapa revenue division"
"YSR district","Yerraguntla mandal","Kadapa revenue division"
"YSR district","Kadapa mandal","Kadapa revenue division"
"YSR district","Vontimitta mandal","Kadapa revenue division"
"YSR district","Sidhout mandal","Kadapa revenue division"
"YSR district","Jammalamadugu mandal","Jammalamadugu revenue division"
"YSR district","Kondapuram mandal","Jammalamadugu revenue division"
"YSR district","Muddanur mandal","Jammalamadugu revenue division"
"YSR district","Mylavaram mandal","Jammalamadugu revenue division"
"YSR district","Rajupalem mandal","Jammalamadugu revenue division"
"YSR district","Proddatur mandal","Jammalamadugu revenue division"
"YSR district","Peddamudium mandal","Jammalamadugu revenue division"
"YSR district","Chapad mandal","Badvel revenue division"
"YSR district","Khajipet mandal","Badvel revenue division"
"YSR district","Duvvur mandal","Badvel revenue division"
"YSR district","Mydukur mandal","Badvel revenue division"
"YSR district","Atloor mandal","Badvel revenue division"
"YSR district","B.Kodur mandal","Badvel revenue division"
"YSR district","B. Mattam mandal","Badvel revenue division"
"YSR district","Badvel mandal","Badvel revenue division"
"YSR district","Gopavaram mandal","Badvel revenue division"
"YSR district","Kalasapadu mandal","Badvel revenue division"
"YSR district","Porumamilla mandal","Badvel revenue division"
"YSR district","SAKN mandal","Badvel revenue division"
"YSR district","Chakrayapet mandal","Pulivendula revenue division"
"YSR district","Lingala mandal","Pulivendula revenue division"
"YSR district","Pulivendula mandal","Pulivendula revenue division"
"YSR district","Simhadripuram mandal","Pulivendula revenue division"
"YSR district","Thondur mandal","Pulivendula revenue division"
"YSR district","Vempalli mandal","Pulivendula revenue division"
"YSR district","Vemula mandal","Pulivendula revenue division"
"YSR district","V.N. Palli mandal","Pulivendula revenue division"
"Kakinada district","Gollaprolu mandal","Kakinada revenue division"
"Kakinada district","Pithapuram mandal","Kakinada revenue division"
"Kakinada district","U.Kotapalli mandal","Kakinada revenue division"
"Kakinada district","Kakinada Rural mandal","Kakinada revenue division"
"Kakinada district","Kakinada Urban mandal","Kakinada revenue division"
"Kakinada district","Samalkota mandal","Kakinada revenue division"
"Kakinada district","Karapa mandal","Kakinada revenue division"
"Kakinada district","Pedapudi mandal","Kakinada revenue division"
"Kakinada district","Kajuluru mandal","Kakinada revenue division"
"Kakinada district","Thallarevu mandal","Kakinada revenue division"
"Kakinada district","Kotananduru mandal","Peddapuram revenue division"
"Kakinada district","Tuni mandal","Peddapuram revenue division"
"Kakinada district","Thondangi mandal","Peddapuram revenue division"
"Kakinada district","Shankhavaram mandal","Peddapuram revenue division"
"Kakinada district","Prathipadu mandal","Peddapuram revenue division"
"Kakinada district","Yeleswaram mandal","Peddapuram revenue division"
"Kakinada district","Jaggampeta mandal","Peddapuram revenue division"
"Kakinada district","Kirlampudi mandal","Peddapuram revenue division"
"Kakinada district","Peddapuram mandal","Peddapuram revenue division"
"Kakinada district","Gandepalli mandal","Peddapuram revenue division"
"Kakinada district","Rowthulapudi mandal","Peddapuram revenue division"
"Srikakulam district","Srikakulam mandal","Srikakulam revenue division"
"Srikakulam district","Gara mandal","Srikakulam revenue division"
"Srikakulam district","Polaki mandal","Srikakulam revenue division"
"Srikakulam district","Narasannapeta mandal","Srikakulam revenue division"
"Srikakulam district","Amadalavalasa mandal","Srikakulam revenue division"
"Srikakulam district","Sarubujjili mandal","Srikakulam revenue division"
"Srikakulam district","Burja mandal","Srikakulam revenue division"
"Srikakulam district","Ponduru mandal","Srikakulam revenue division"
"Srikakulam district","Etcherla mandal","Srikakulam revenue division"
"Srikakulam district","Laveru mandal","Srikakulam revenue division"
"Srikakulam district","Ranasthalam mandal","Srikakulam revenue division"
"Srikakulam district","G.Sigadam mandal","Srikakulam revenue division"
"Srikakulam district","Jalumuru mandal","Srikakulam revenue division"
"Srikakulam district","Tekkali mandal","Tekkali revenue division"
"Srikakulam district","Kotabommali mandal","Tekkali revenue division"
"Srikakulam district","Santabommali mandal","Tekkali revenue division"
"Srikakulam district","Saravakota mandal","Tekkali revenue division"
"Srikakulam district","Pathapatnam mandal","Tekkali revenue division"
"Srikakulam district","Meliaputti mandal","Tekkali revenue division"
"Srikakulam district","Hiramandalam mandal","Tekkali revenue division"
"Srikakulam district","Kotturu mandal","Tekkali revenue division"
"Srikakulam district","L.N.Peta mandal","Tekkali revenue division"
"Srikakulam district","Nandigam mandal","Palasa revenue division"
"Srikakulam district","Palasa mandal","Palasa revenue division"
"Srikakulam district","Sompeta mandal","Palasa revenue division"
"Srikakulam district","Kavity mandal","Palasa revenue division"
"Srikakulam district","Kanchili mandal","Palasa revenue division"
"Srikakulam district","Ichapuram mandal","Palasa revenue division"
"Srikakulam district","Vajrapukotturu mandal","Palasa revenue division"
"Srikakulam district","Mandasa mandal","Palasa revenue division"
"Annamayya district","Beerangi Kothakota mandal","Madanapalle revenue division"
"Annamayya district","Kalikiri mandal","Madanapalle revenue division"
"Annamayya district","Kurabalakota mandal","Madanapalle revenue division"
"Annamayya district","Madanapalle mandal","Madanapalle revenue division"
"Annamayya district","Mulakalacheruvu mandal","Madanapalle revenue division"
"Annamayya district","Nimmanapalle mandal","Madanapalle revenue division"
"Annamayya district","Peddamandyam mandal","Madanapalle revenue division"
"Annamayya district","Peddathippasamudram mandal","Madanapalle revenue division"
"Annamayya district","Ramasamudram mandal","Madanapalle revenue division"
"Annamayya district","Thamballapalle mandal","Madanapalle revenue division"
"Annamayya district","Valmikipuram mandal","Madanapalle revenue division"
"Annamayya district","Chitvel mandal","Rajampeta revenue division"
"Annamayya district","Nandalur mandal","Rajampeta revenue division"
"Annamayya district","Obulavaripalle mandal","Rajampeta revenue division"
"Annamayya district","Penagalur mandal","Rajampeta revenue division"
"Annamayya district","Pullampeta mandal","Rajampeta revenue division"
"Annamayya district","Railway Koduru mandal","Rajampeta revenue division"
"Annamayya district","Rajampet mandal","Rajampeta revenue division"
"Annamayya district","T. Sundupalle mandal","Rajampeta revenue division"
"Annamayya district","Veeraballi mandal","Rajampeta revenue division"
"Annamayya district","Chinnamandyam mandal","Rayachoti revenue division"
"Annamayya district","Galiveedu mandal","Rayachoti revenue division"
"Annamayya district","Gurramkonda mandal","Rayachoti revenue division"
"Annamayya district","Kalakada mandal","Rayachoti revenue division"
"Annamayya district","Kambhamvaripalle mandal","Rayachoti revenue division"
"Annamayya district","Lakkireddypalli mandal","Rayachoti revenue division"
"Annamayya district","Pileru mandal","Rayachoti revenue division"
"Annamayya district","Ramapuram mandal","Rayachoti revenue division"
"Annamayya district","Rayachoti mandal","Rayachoti revenue division"
"Annamayya district","Sambepalli mandal","Rayachoti revenue division"
"Guntur district","Chebrolu mandal","Tenali revenue division"
"Guntur district","Duggirala mandal","Tenali revenue division"
"Guntur district","Kakumanu mandal","Tenali revenue division"
"Guntur district","Kollipara mandal","Tenali revenue division"
"Guntur district","Mangalagiri mandal","Tenali revenue division"
"Guntur district","Medikonduru mandal","Guntur revenue division"
"Guntur district","Pedakakani mandal","Guntur revenue division"
"Guntur district","Pedanandipadu mandal","Guntur revenue division"
"Guntur district","Phirangipuram mandal","Guntur revenue division"
"Guntur district","Ponnur mandal","Tenali revenue division"
"Guntur district","Prathipadu mandal","Guntur revenue division"
"Guntur district","Tadepalle mandal","Tenali revenue division"
"Guntur district","Tadikonda mandal","Guntur revenue division"
"Guntur district","Tenali mandal","Tenali revenue division"
"Guntur district","Thullur mandal","Guntur revenue division"
"Guntur district","Vatticherukuru mandal","Guntur revenue division"
"Parvathipuram Manyam district","Balijipeta mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Bhamini mandal","Palakonda revenue division"
"Parvathipuram Manyam district","Garugubilli mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Gummalakshmipuram mandal","Palakonda revenue division"
"Parvathipuram Manyam district","Jiyyammavalasa mandal","Palakonda revenue division"
"Parvathipuram Manyam district","Komarada mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Kurupam mandal","Palakonda revenue division"
"Parvathipuram Manyam district","Makkuva mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Pachipenta mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Palakonda mandal","Palakonda revenue division"
"Parvathipuram Manyam district","Parvathipuram mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Salur mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Seethampeta mandal","Palakonda revenue division"
"Parvathipuram Manyam district","Seethanagaram mandal","Parvathipuram revenue division"
"Parvathipuram Manyam district","Veeraghattam mandal","Palakonda revenue division" 
